PICT,EX,EW,CR,EN,VU,NT,LR_cd,DD,LC,Total_spp
American Samoa,1,0,2,17,75,83,3,59,1116,1356
Cook Islands,15,0,0,12,52,51,1,51,883,1065
Fiji,1,0,26,43,153,156,3,123,1622,2127
French Polynesia,59,11,38,24,67,63,2,100,1141,1505
Guam,5,2,6,21,71,89,2,110,1072,1378
Kiribati,1,0,0,13,92,118,3,62,1116,1405
Marshall Islands,0,0,0,10,91,119,3,65,1196,1484
Micronesia (FSM),2,0,4,23,136,146,3,127,1463,1904
Nauru,0,0,0,7,76,111,0,44,905,1143
New Caledonia,5,0,36,48,159,154,3,180,1944,2529
Niue,0,0,0,10,43,53,0,38,769,913
Northern Mariana Islands  ,2,0,7,18,71,88,3,71,1133,1393
Palau,1,0,27,30,124,145,4,111,1665,2107
Papua New Guinea,1,0,19,51,274,256,3,465,3391,4460
Pitcairn,0,0,0,7,28,25,1,31,440,532
Samoa,0,0,3,17,73,86,3,79,1212,1473
Solomon Islands,2,0,10,29,187,194,3,144,1969,2538
Tokelau,0,0,0,7,44,57,2,39,784,933
Tonga,2,0,3,14,58,68,3,61,1277,1486
Tuvalu,0,0,0,11,87,114,3,49,964,1228
Vanuatu,1,0,1,20,109,137,3,97,1587,1955
Wallis and Futuna,0,0,2,9,77,94,0,51,1061,1294
