Year,Time,Species,Group,Lat,Long
2010,1041,Short-finned pilot,6,-2.390929,147.022319
2010,1041,Sperm,1,-2.254232,146.690452
2010,823,Spinner,2,-2.2533,146.689481
2010,1117,Spinner,15,-2.307275,146.688647
2010,1139,Spinner,7,-2.232788,146.84678
2010,1222,Spinner,30,-2.335902,146.899153
2010,1624,Spinner,5,-2.425869,147.085007
2010,1733,Spinner,7,-2.425147,147.10662
2010,1141,Spinner,15,-2.336301,146.802794
2010,1149,Spinner,50,-2.232995,146.950699
2010,705,Spinner,15,-2.235435,146.954869
2010,1037,Spinner,10,-2.436844,146.797033
2010,1049,Spinner,15,-2.341905,146.854368
2010,1230,Spinner,10,-2.391612,147.027732
2010,833,Spinner,20,-2.221554,146.748578
2010,835,Spinner,45,-2.289755,146.829073
2010,942,Spinner,4,-2.430286,147.080834
2010,1025,Spinner,25,-2.427017,147.072594
2013,1126,Mixed,25,-2.362444,146.983
2013,1020,Mixed ,15,-2.302528,146.748917
2013,1305,Sperm,5,-2.353694,146.914444
2013,1425,Sperm,4,-2.395917,146.927472
2013,1000,Spinner,80,-2.382861,146.795611
2013,1626,Spinner,10,-2.2545,146.8465
2013,1707,Spinner,50,-2.313889,146.85225
2013,1320,Spinner,50,-2.272225,146.706444
2013,1009,Spinner,100,-2.346139,146.844806
2013,1107,Spinner,15,-2.225556,146.901389
2013,1209,Spinner,100,-2.386528,146.875556
2013,1100,Spinner,100,-2.191361,146.707722
2013,916,Spinner,10,-2.261444,146.969778
2013,1100,Spinner,100,-2.262139,146.959528
2013,1449,Spinner,50,-2.390611,146.871778
2013,1053,Spinner,50,-2.238278,146.740361
2013,958,Spinner,5,-2.378465,146.834176
2013,1058,Spinner,30,-2.374327,146.833693
2013,1123,Spotted,10,-2.262139,146.959528
2013,1144,Spotted,50,-2.251778,146.928944
2013,1040,Spotted,10,-2.379998,146.832427
